danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0.817,0.853,-5.915,0.12,0.00868,0.0,0.35,0.605,126.951,0
0.781,0.526,-6.986,0.293,0.0633,0.0,0.0457,0.665,94.993,2
0.696,0.893,-2.963,0.076,0.0662,0.0,0.473,0.573,97.954,1
0.593,0.781,-5.291,0.0545,0.000724,0.0,0.225,0.565,103.025,0
0.797,0.608,-6.096,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,0
0.569,0.785,-4.057,0.0457,0.0505,1.12e-06,0.086,0.303,128.031,0
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,0
0.546,0.787,-4.1,0.0517,0.0101,0.00021,0.0809,0.573,79.979,0
0.928,0.764,-3.497,0.0511,0.00922,0.64,0.119,0.96,126.003,0
0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,1
0.674,0.428,-9.504,0.122,0.121,0.0,0.132,0.337,84.878,2
0.772,0.685,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.033,0
0.794,0.523,-7.829,0.161,0.0331,0.0,0.156,0.56,86.307,2
0.76,0.652,-7.321,0.232,0.0348,0.0,0.307,0.759,100.315,2
0.781,0.853,-3.68,0.0715,0.0525,0.0,0.12,0.624,110.049,0
0.589,0.966,-4.106,0.0972,0.03,0.0,0.147,0.802,129.983,1
0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,0
0.659,0.911,-2.28,0.0786,0.154,0.000304,0.191,0.576,91.999,1
0.676,0.926,-2.244,0.0425,0.0305,0.000658,0.0771,0.818,124.019,0
0.912,0.716,-4.141,0.0697,0.0904,0.0,0.0491,0.377,94.981,0
0.68,0.84,-3.823,0.0414,0.0457,8.66e-06,0.143,0.468,104.975,0
0.66,0.805,-5.352,0.153,0.0192,8.83e-06,0.159,0.625,103.008,0
0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,2
0.746,0.873,-3.803,0.128,0.0244,0.0,0.354,0.817,148.075,1
